# ----------------------------------------
# Search page
# Search Terms
# 20150316-20150818
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
smack,"2,918",2.01,23.89%,43.06%,00:02:33,0.02
bass drum,"2,911",2.75,32.50%,27.72%,00:03:01,0.02
ice,"2,908",2.71,25.83%,31.46%,00:03:20,0.02
zap,"2,907",2.54,30.44%,31.44%,00:03:23,0.01
basketball,"2,899",2.62,39.15%,29.01%,00:03:40,0.03
blood,"2,895",2.44,30.22%,32.89%,00:03:34,0.03
dinosaur,"2,865",2.94,40.87%,24.29%,00:04:27,0.02
breeze,"2,863",2.24,30.25%,34.69%,00:03:46,<0.01
church,"2,862",2.49,26.73%,32.57%,00:03:17,0.04
baby crying,"2,840",1.89,37.25%,37.02%,00:03:44,0.05
slam,"2,834",2.14,22.55%,40.83%,00:02:33,0.02
wings,"2,834",2.58,32.57%,30.22%,00:04:25,0.02
yawn,"2,828",2.04,28.71%,40.56%,00:04:17,<0.01
screams,"2,827",2.50,26.07%,33.09%,00:03:28,0.02
ship,"2,820",2.48,24.47%,34.51%,00:03:17,0.03
dj,"2,809",2.49,30.05%,32.06%,00:02:57,0.04
snake,"2,807",2.32,35.30%,33.71%,00:03:36,0.01
flame,"2,804",2.56,30.46%,30.98%,00:03:36,0.01
rope,"2,796",2.31,26.00%,38.63%,00:03:52,0.02
cannon,"2,793",2.86,37.95%,24.97%,00:04:08,0.03
cash,"2,791",1.92,38.23%,36.85%,00:02:52,0.03
